상호명,지점명,시도명,시군구명,도로명주소
스타벅스,노량진동점,서울특별시,동작구,서울특별시 동작구 노량진로 190
스타벅스압구정로데오역점,압구정로데오역점,서울특별시,강남구,서울특별시 강남구 선릉로 836
스타벅스,쌍문역점,서울특별시,도봉구,서울특별시 도봉구 도봉로 480
스타벅스,망원역점,서울특별시,마포구,서울특별시 마포구 월드컵로 74
스타벅스한성대입구역점,한성대입구역점,서울특별시,성북구,서울특별시 성북구 성북로 11
스타벅스오목교역점,오목교역점,서울특별시,양천구,서울특별시 양천구 오목로 354
스타벅스,숭례문점,서울특별시,중구,서울특별시 중구 세종대로 17
스타벅스,서교점,서울특별시,마포구,서울특별시 마포구 양화로 78
스타벅스,영등포본동점,서울특별시,영등포구,서울특별시 영등포구 영등포로 254
스타벅스,송파사거리점,서울특별시,송파구,서울특별시 송파구 송파대로 386
스타벅스강변역점,강변역점,서울특별시,광진구,서울특별시 광진구 구의강변로 64
스타벅스,금천독산점,서울특별시,금천구,서울특별시 금천구 두산로 70
스타벅스가산디지털단지점,가산디지털단지점,서울특별시,금천구,서울특별시 금천구 가산디지털1로 168
스타벅스,태평로점,서울특별시,중구,서울특별시 중구 세종대로 72
스타벅스노원케이티점,노원케이티점,서울특별시,노원구,서울특별시 노원구 노해로 502
스타벅스,올림픽대교북단점,서울특별시,광진구,서울특별시 광진구 광나루로 608
스타벅스,써머셋팰리스,서울특별시,종로구,서울특별시 종로구 율곡로2길 7
스타벅스,강남에비뉴점,서울특별시,서초구,서울특별시 서초구 서초대로77길 62
스타벅스,오류동역점,서울특별시,구로구,서울특별시 구로구 경인로 216
스타벅스,대치대원빌딩R점,서울특별시,강남구,서울특별시 강남구 남부순환로 2947
스타벅스포스코사거리점,포스코사거리점,서울특별시,강남구,서울특별시 강남구 테헤란로 505
스타벅스동묘앞역점동묘앞역점,동묘앞역점,서울특별시,종로구,서울특별시 종로구 종로 344
스타벅스,연대점,서울특별시,서대문구,서울특별시 서대문구 연세로 35
스타벅스연신내역점,연신내역점,서울특별시,은평구,서울특별시 은평구 연서로 216
스타벅스,강남II점,서울특별시,서초구,서울특별시 서초구 서초대로77길 27
스타벅스,석촌역점,서울특별시,송파구,서울특별시 송파구 백제고분로 358
스타벅스,여의도알리안츠점,서울특별시,영등포구,서울특별시 영등포구 의사당대로 147
스타벅스,한국프레스센터점,서울특별시,중구,서울특별시 중구 세종대로 124
스타벅스종암점,종암점,서울특별시,성북구,서울특별시 성북구 종암로 122
스타벅스,평창점,서울특별시,종로구,서울특별시 종로구 평창문화로 51
스타벅스,선유도역점,서울특별시,영등포구,서울특별시 영등포구 양평로 115
스타벅스,대우재단빌딩점,서울특별시,중구,서울특별시 중구 퇴계로 18
스타벅스,독산사거리점,서울특별시,금천구,서울특별시 금천구 시흥대로 426
스타벅스,이촌역점,서울특별시,용산구,서울특별시 용산구 서빙고로 69
스타벅스신설동역점,신설동역점,서울특별시,동대문구,서울특별시 동대문구 왕산로 19
스타벅스황학사거리점,황학사거리점,서울특별시,성동구,서울특별시 성동구 왕십리로 410
스타벅스,미아점,서울특별시,성북구,서울특별시 성북구 동소문로 314
스타벅스문정역점,문정역점,서울특별시,송파구,서울특별시 송파구 송파대로 167
스타벅스,화곡동점,서울특별시,강서구,서울특별시 강서구 화곡로 142
스타벅스,마곡GMG점,서울특별시,강서구,서울특별시 강서구 마곡중앙6로 16
스타벅스,금천시흥점,서울특별시,금천구,서울특별시 금천구 시흥대로 164
스타벅스,문정로데오점,서울특별시,송파구,서울특별시 송파구 동남로 141
스타벅스,양평동점,서울특별시,영등포구,서울특별시 영등포구 선유동2로 57
스타벅스,고대안암병원점,서울특별시,성북구,서울특별시 성북구 인촌로 73
스타벅스경희대삼거리점,경희대삼거리점,서울특별시,동대문구,서울특별시 동대문구 회기로 141
스타벅스,신월ICDT점,서울특별시,양천구,서울특별시 양천구 남부순환로 430
스타벅스둔촌동점,둔촌동점,서울특별시,강동구,서울특별시 강동구 양재대로 1303
스타벅스,잠실대교남단점,서울특별시,송파구,서울특별시 송파구 송파대로 570
스타벅스,상수역점,서울특별시,마포구,서울특별시 마포구 독막로 88
스타벅스대치은마사거리점,대치은마사거리점,서울특별시,강남구,서울특별시 강남구 도곡로 457
스타벅스서소문배재점,서소문배재점,서울특별시,중구,서울특별시 중구 서소문로 99
스타벅스숙대점,숙대점,서울특별시,용산구,서울특별시 용산구 청파로47가길 7-11
스타벅스송파방이DT점,송파방이DT점,서울특별시,송파구,서울특별시 송파구 오금로 241
스타벅스,을지로국제빌딩점,서울특별시,중구,서울특별시 중구 남대문로 109
스타벅스강동역점,강동역점,서울특별시,강동구,서울특별시 강동구 천호대로 1089
스타벅스방화DT,,서울특별시,강서구,서울특별시 강서구 방화대로 375
스타벅스,여의도화재보험,서울특별시,영등포구,서울특별시 영등포구 국제금융로6길 38
스타벅스,,서울특별시,광진구,서울특별시 광진구 능동로 209
스타벅스,보라매점,서울특별시,관악구,서울특별시 관악구 보라매로5가길 7
스타벅스,신세계강남점,서울특별시,서초구,서울특별시 서초구 신반포로 176
스타벅스,연세세브란스점,서울특별시,중구,서울특별시 중구 통일로 10
스타벅스종로3가점,종로3가점,서울특별시,종로구,서울특별시 종로구 종로 113-1
스타벅스청계산입구역점,청계산입구역점,서울특별시,서초구,서울특별시 서초구 청계산로 203
스타벅스,대치삼성프라자점,서울특별시,강남구,서울특별시 강남구 영동대로 237
스타벅스,합정점,서울특별시,마포구,서울특별시 마포구 월드컵로1길 14
스타벅스강남오거리점,강남오거리점,서울특별시,강남구,서울특별시 강남구 봉은사로2길 39
스타벅스마포이마트점,마포이마트점,서울특별시,마포구,서울특별시 마포구 백범로 212
스타벅스,염창역점,서울특별시,강서구,서울특별시 강서구 공항대로 627
스타벅스가산디지털단지역점,가산디지털단지역점,서울특별시,금천구,서울특별시 금천구 벚꽃로 298
스타벅스,가든파이브점,서울특별시,송파구,서울특별시 송파구 충민로 10
스타벅스압구정점,압구정점,서울특별시,강남구,서울특별시 강남구 압구정로30길 17
