상호명,지점명,시도명,시군구명,도로명주소
이디야커피,홍은사거리점,서울특별시,서대문구,서울특별시 서대문구 통일로 510
이디야커피신당중앙점,신당중앙점,서울특별시,중구,서울특별시 중구 퇴계로 455
이디야커피,,서울특별시,은평구,서울특별시 은평구 진흥로1길 3
이디야커피,쌍문동점,서울특별시,도봉구,서울특별시 도봉구 노해로 162
이디야커피,월곡동아점,서울특별시,성북구,서울특별시 성북구 장월로1길 47
이디야커피,,서울특별시,강남구,서울특별시 강남구 도산대로37길 20
이디야커피,용산청파점,서울특별시,용산구,서울특별시 용산구 청파로71길 10
이디야커피,창동현대타운점,서울특별시,도봉구,서울특별시 도봉구 도봉로114길 22
이디야커피,숍명동중앙2호점,서울특별시,중구,서울특별시 중구 명동8가길 37
이디야커피,증산동점,서울특별시,은평구,서울특별시 은평구 증산서길 78
이디야커피,북한산점,서울특별시,강북구,서울특별시 강북구 419로 85
이디야커피,,서울특별시,종로구,서울특별시 종로구 동호로 406-1
이디야커피,COFFEE이디야커피석관동점,서울특별시,성북구,서울특별시 성북구 돌곶이로8길 22
이디야커피,답십리파크자이점,서울특별시,동대문구,서울특별시 동대문구 한천로 55
이디야커피,송파문정점,서울특별시,송파구,서울특별시 송파구 송이로 159
이디야커피,,서울특별시,관악구,서울특별시 관악구 호암로26길 17
이디야커피,석촌백제점,서울특별시,송파구,서울특별시 송파구 백제고분로39길 15
이디야커피,송파풍납점,서울특별시,송파구,서울특별시 송파구 강동대로9길 17-1
이디야커피,길동역점,서울특별시,강동구,서울특별시 강동구 양재대로 1471
이디야커피,송파헬리오시티점,서울특별시,송파구,서울특별시 송파구 가락로12길 4
이디야커피,문정문현점,서울특별시,송파구,서울특별시 송파구 새말로8길 30
이디야역삼플래티넘,,서울특별시,강남구,서울특별시 강남구 테헤란로4길 46
이디야커피,회기역중앙점,서울특별시,동대문구,서울특별시 동대문구 회기로 194-1
이디야커피,독바위역점,서울특별시,은평구,서울특별시 은평구 불광로 128
이디야커피,갈현점,서울특별시,은평구,서울특별시 은평구 갈현로 268
이디야커피,본서부병원점,서울특별시,은평구,서울특별시 은평구 응암로 337
이디야커피전농뉴타운점,전농뉴타운점,서울특별시,동대문구,서울특별시 동대문구 답십리로 77
이디야커피,장위2동점,서울특별시,성북구,서울특별시 성북구 화랑로25길 14
이디야커피,서울삼성내과점,서울특별시,송파구,서울특별시 송파구 백제고분로 126
이디야커피,세이브존노원점,서울특별시,노원구,서울특별시 노원구 공릉로 351
이디야커피,대치역점,서울특별시,강남구,서울특별시 강남구 남부순환로 2937
이디야커피,성산중앙점,서울특별시,마포구,서울특별시 마포구 성미산로 78
이디야커피,가산오거리점,서울특별시,금천구,서울특별시 금천구 가산로 155
이디야커피,신촌숲아이파크점,서울특별시,마포구,서울특별시 마포구 광성로 17
이디야커피,쌈지공원점,서울특별시,금천구,서울특별시 금천구 독산로 276
이디야커피,목동남부점,서울특별시,양천구,서울특별시 양천구 목동남로 46
이디야커피,,서울특별시,마포구,서울특별시 마포구 월드컵로 240
이디야커피,중계중앙점,서울특별시,노원구,서울특별시 노원구 덕릉로73길 18
이디야커피,충정로역점,서울특별시,중구,서울특별시 중구 중림로 10
이디야커피,상암홈플러스점,서울특별시,마포구,서울특별시 마포구 월드컵로 240
이디야커피,방학홈플러스점,서울특별시,도봉구,서울특별시 도봉구 도봉로 678
이디야커피,광나루점,서울특별시,광진구,서울특별시 광진구 아차산로 624
이디야커피,종합운동장역점,서울특별시,송파구,서울특별시 송파구 올림픽로 76
이디야커피,마곡헤리움점,서울특별시,강서구,서울특별시 강서구 마곡중앙5로1길 25
이디야커피건대스타시티점,건대스타시티점,서울특별시,광진구,서울특별시 광진구 아차산로 262
이디야커피,석계중앙점,서울특별시,성북구,서울특별시 성북구 한천로78길 71
이디야커피,을지병원사거리점,서울특별시,강남구,서울특별시 강남구 도산대로30길 7
이디야커피,명지전문대점,서울특별시,서대문구,서울특별시 서대문구 가좌로 140
이디야커피,신논현점,서울특별시,서초구,서울특별시 서초구 강남대로79길 10
이디야커피가좌역점,가좌역점,서울특별시,서대문구,서울특별시 서대문구 수색로 32
이디야커피,염창역점,서울특별시,강서구,서울특별시 강서구 공항대로 629
이디야커피,방학중앙점,서울특별시,도봉구,서울특별시 도봉구 도당로13길 22
이디야커피,오금중앙점,서울특별시,송파구,서울특별시 송파구 위례성대로22길 18
엠케이이디야마곡나루역점,,서울특별시,강서구,서울특별시 강서구 마곡중앙5로 6
이디야커피,응봉동점,서울특별시,성동구,서울특별시 성동구 독서당로 377
이디야커피,시흥사거리점,서울특별시,금천구,서울특별시 금천구 시흥대로63길 8
이디야커피,강남세곡점,서울특별시,강남구,서울특별시 강남구 헌릉로569길 9
이디야커피,신사점,서울특별시,강남구,서울특별시 강남구 도산대로 118
이디야커피,동덕여대점,서울특별시,성북구,서울특별시 성북구 화랑로 99
이디야커피,망원중앙점,서울특별시,마포구,서울특별시 마포구 월드컵로 147
이디야커피,문정중앙점,서울특별시,송파구,서울특별시 송파구 문정로 31-1
이디야커피선정릉역점,선정릉역점,서울특별시,강남구,서울특별시 강남구 봉은사로 326
이디야커피,시흥유통센터점,서울특별시,금천구,서울특별시 금천구 시흥대로 88
이디야커피,보라매중앙점,서울특별시,관악구,서울특별시 관악구 보라매로 62
이디야커피,서울고교점,서울특별시,서초구,서울특별시 서초구 효령로40길 4
이디야커피,이문점,서울특별시,동대문구,서울특별시 동대문구 신이문로 19
