????(???)?,??,???,?? (?),?,0 - 4?,5 - 9?,10 - 14?,15 - 19?,20 - 24?,25 - 29?,30 - 34?,35 - 39?,40 - 44?,45 - 49?,50 - 54?,55 - 59?,60 - 64?,65 - 69?,70 - 74?,75 - 79?,80? ??,80 - 84?,85? ??,85 - 89?,90 - 94?,95 - 99?,100? ??
 ???,??,50 - 54?,6072,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,55 - 59?,6179.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,60 - 64?,5409,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,65 - 69?,3743.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,70 - 74?,2842,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,75 - 79?,2368.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80? ??,2405.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,80 - 84?,1517,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85? ??,888.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,85 - 89?,642,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,90 - 94?,188.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,95 - 99?,52,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,100? ??,6,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,?,74253,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,0 - 4?,1641,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,5 - 9?,2252,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,10 - 14?,2545,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,15 - 19?,3083,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,20 - 24?,5626.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,25 - 29?,6141.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,30 - 34?,4990.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,35 - 39?,4975.5,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,40 - 44?,5014,,,,,,,,,,,,,,,,,,,,,,,,
 ???,??,45 - 49?,6228,,,,,,,,,,,,,,,,,,,,,,,,
